feature,importance
addr1_1_te,4.7236481261947676e20
house_area,4.536131351953218e20
year_built,3.341415632222803e20
money_kyoueki,2.5022457171041577e20
addr1_2,2.3935705633386588e20
unit_area,1.7965981387061068e20
addr1_2_te,1.6082383709337947e20
addr1_1_count,1.4448571468642779e20
post1,1.342503628598121e20
building_age,1.3248919345397203e20
madori_kind_all,1.2009379497565019e20
lon,9.817891582379608e19
el,7.947930111260683e19
floor_count,7.785948721531149e19
snapshot_land_area,6.28396153652696e19
lat,5.853155383686847e19
nl,5.4901399424456114e19
parking_money,4.6368442583925735e19
building_age_bin,4.219241726369753e19
post2,3.783450186997852e19
addr1_2_count,3.005281845525069e19
room_floor,2.7114798078833635e19
building_land_area,2.2953006987962135e19
room_kaisuu,2.225197647448559e19
money_shuuzen,1.6432126024359258e19
basement_floor_count,1.637312225360146e19
super_distance,1.53746933620826e19
land_youto,1.520058609488276e19
land_youto_te,1.4688129250354004e19
madori_number_all,1.307313419692767e19
total_floor_area,1.2735681554092042e19
building_structure,1.1871085281418412e19
land_toshi,1.1053682446116235e19
unit_count,9.926349778014253e18
addr1_1,9.576564456282915e18
convenience_distance,9.05635217852841e18
genkyo_code,7.698220771634577e18
land_youseki,7.223493291084699e18
floor_plan_code,7.19277938311133e18
land_kenpei,7.127219841999481e18
drugstore_distance,7.105517310568066e18
building_structure_count,6.965180623737935e18
balcony_area,5.612026353577492e18
house_kanrinin,5.26621444417537e18
hospital_distance,5.067509998035665e18
land_youto_count,4.860977625690669e18
land_toshi_te,4.612266918305508e18
park_distance,4.534351586066606e18
bank_distance,4.121948231860399e18
room_count,3.9047811068134257e18
land_area_all,3.8340108615340954e18
old_and_large_flag,3.7853941661376184e18
land_toshi_count,3.5295594809197414e18
dwelling_unit_window_angle,3.242996429831362e18
building_status,3.2351266005802025e18
est_other_distance,3.2274148636935675e18
old_building_flag,3.1715214556380093e18
genkyo_code_count,2.857546544421973e18
land_road_cond,2.7106924418543124e18
shopping_street_distance,2.4817028892567363e18
snapshot_window_angle,2.453537618774677e18
money_sonota_sum,2.397054650060986e18
parking_kubun,2.1075634329829596e18
snapshot_land_shidou,2.01622704647115e18
land_chisei,1.7518901349566817e18
old_and_rural_flag,1.6083511931092774e18
building_land_chimoku,1.361475591984207e18
empty_number,1.3370601111212961e18
management_form,1.1725186310183322e18
flg_investment,9.401243074075909e17
building_status_count,8.486138476278141e17
usable_status,7.554995135796566e17
management_association_flg,7.242572720661244e17
usable_status_count,6.46809921953377e17
parking_kubun_count,6.018456687167406e17
building_type,4.439909836958378e17
building_type_count,4.4343640807300576e17
land_chisei_count,4.188745594442875e17
parking_keiyaku,4.09502635385684e17
bukken_type_te,3.750027979174271e17
building_land_chimoku_count,3.383376878833937e17
bukken_type,3.028812208153122e17
flg_investment_count,2.433531133195278e17
management_form_count,2.3670542889945222e17
flg_new,1.7376600900449075e17
money_shuuzenkikin,1.3119324828711869e17
flg_new_count,6.272689785484083e16
bukken_type_count,1.6361210095424854e16
