feature,importance
house_area,1.4077782502637761e20
addr1_1_te,1.2425567606094551e20
addr1_2,1.1059423010177312e20
year_built,9.154862136985038e19
money_kyoueki,5.184283162390648e19
addr1_1,2.687764094232874e19
madori_kind_all,2.278498875332712e19
floor_count,1.6531733319528743e19
post1,1.4364933207870495e19
addr1_2_te,1.019683206604067e19
unit_area,7.329947884582513e18
parking_money,7.260302497365186e18
building_age,6.88417175110401e18
snapshot_land_area,6.107988617887832e18
building_age_bin,5.830641740761705e18
room_floor,4.804263340422813e18
lon,4.442458549561328e18
land_youto,2.8273719028953907e18
el,2.2041315006753014e18
lat,2.0480976452090593e18
room_kaisuu,1.938744275664983e18
building_land_area,1.6956232574075318e18
post2,1.5934277067707077e18
super_distance,1.441587897964342e18
building_structure,1.3847129986433024e18
land_toshi_te,1.3417417015967089e18
money_shuuzen,1.3279984963075878e18
land_toshi_count,1.2663565072001052e18
nl,1.136752306725847e18
genkyo_code,9.399401673776607e17
land_youto_te,7.677657632518525e17
basement_floor_count,6.559965229221588e17
addr1_1_count,6.093430025942467e17
house_kanrinin,5.935119635945882e17
madori_number_all,5.347292691496087e17
convenience_distance,3.782554021579981e17
drugstore_distance,3.669585340050091e17
building_structure_count,3.0145000023138854e17
building_status,1.7178676578956083e17
addr1_2_count,1.2740546569734282e17
land_kenpei,1.172374656315119e17
land_youto_count,1.0771893262448504e17
hospital_distance,8.432219956917043e16
land_youseki,6.566993399172301e16
unit_count,6.054429926166801e16
bank_distance,5.156779971733094e16
floor_plan_code,4.764636787454771e16
total_floor_area,4.523559986799138e16
management_form,3.873213318692864e16
room_count,3.450919965076139e16
balcony_area,3.1315632336491864e16
management_form_count,2.8683966287795544e16
dwelling_unit_window_angle,2.718550015868928e16
land_area_all,2.423400078036173e16
land_road_cond,2.287373381393886e16
shopping_street_distance,1.6768067003831638e16
usable_status,1.4222699733013846e16
land_toshi,1.2806799339378006e16
money_sonota_sum,9377333093859328.0
building_type,8149699728332117.0
land_chisei_count,6875166751588352.0
park_distance,6794366963504469.0
old_and_rural_flag,6671133614363989.0
est_other_distance,5527399929566549.0
parking_kubun_count,5001333365713579.0
empty_number,4460700062362282.5
management_association_flg,0.0
snapshot_land_shidou,0.0
snapshot_window_angle,0.0
money_shuuzenkikin,0.0
parking_keiyaku,0.0
building_land_chimoku,0.0
land_chisei,0.0
flg_investment,0.0
flg_new,0.0
parking_kubun,0.0
bukken_type,0.0
old_building_flag,0.0
old_and_large_flag,0.0
bukken_type_te,0.0
bukken_type_count,0.0
building_land_chimoku_count,0.0
building_status_count,0.0
building_type_count,0.0
flg_investment_count,0.0
flg_new_count,0.0
genkyo_code_count,0.0
usable_status_count,0.0
