feature,importance
house_area,1.4082604148530453e20
addr1_1_te,1.2475748866458927e20
addr1_2_label,1.113785349247305e20
year_built,1.0377171814205812e20
money_kyoueki,5.134577619977005e19
addr1_1_label,2.6785648362097304e19
madori_kind_all,2.2805757217652867e19
floor_count,1.6739313271884655e19
post1,1.372738737375194e19
addr1_2_te,1.0060496567334339e19
unit_area,7.795010445223395e18
parking_money,7.181685601713433e18
snapshot_land_area,6.575156168128201e18
room_floor,4.97261038609035e18
lon,4.573419848389886e18
land_youto_label,3.024301531789787e18
lat,2.0083930494640236e18
el,1.9030003634688492e18
room_kaisuu,1.718339153320826e18
post2,1.6498122324956938e18
building_structure_label,1.6451525297765524e18
money_shuuzen,1.4892707046993428e18
super_distance,1.4571372730087288e18
building_land_area,1.3993381318011564e18
land_toshi_count,1.2655150329125056e18
nl,1.2556319656299725e18
land_toshi_te,1.160118875510014e18
land_youto_te,1.0498257928913772e18
genkyo_code_label,9.708055293014835e17
house_kanrinin,5.849190321891574e17
basement_floor_count,5.741151643626373e17
madori_number_all,5.406969662198689e17
drugstore_distance,4.015298030914765e17
convenience_distance,3.456762684682622e17
building_structure_count,2.7958990232162576e17
building_status_label,1.87948201948829e17
total_floor_area,1.1741866708050466e17
land_youseki,1.0645966646690885e17
unit_count,1.0228839888191486e17
hospital_distance,8.534279976281702e16
land_youto_count,6.656383336596548e16
land_toshi_label,5.584589996093167e16
land_kenpei,5.455850033591091e16
bank_distance,4.521110101662106e16
management_form_label,4.193270058206276e16
park_distance,3.4222433632256e16
balcony_area,3.068193353428719e16
land_road_cond,2.7960266803817132e16
floor_plan_code,2.794169930228258e16
management_form_count,2.199589976486707e16
snapshot_window_angle,2.0609699785910956e16
room_count,2.0489800047220056e16
empty_number,1.2034833370841088e16
genkyo_code_count,1.0026200288897706e16
building_type_label,9412733645968726.0
parking_kubun_count,6564366454008491.0
flg_investment_label,5171700043874304.0
dwelling_unit_window_angle,5128333401172651.0
shopping_street_distance,5009833463906304.0
usable_status_label,4774966756463957.0
money_sonota_sum,4669766543343616.0
land_area_all,0.0
management_association_flg,0.0
snapshot_land_shidou,0.0
money_shuuzenkikin,0.0
parking_keiyaku,0.0
est_other_distance,0.0
bukken_type_te,0.0
bukken_type_label,0.0
bukken_type_count,0.0
building_land_chimoku_label,0.0
building_land_chimoku_count,0.0
building_status_count,0.0
building_type_count,0.0
land_chisei_label,0.0
land_chisei_count,0.0
flg_investment_count,0.0
flg_new_label,0.0
flg_new_count,0.0
usable_status_count,0.0
parking_kubun_label,0.0
